playlist_genre,dimension_1,dimension_2
pop,12.569437,-39.597057
pop,-45.139713,-20.793629
pop,50.554596,-69.42947
pop,46.61972,102.07627
pop,-94.97871,-9.705035
pop,-24.364754,-7.801233
pop,19.753714,18.856222
pop,-64.39068,-12.160507
pop,-79.01199,6.186027
pop,-75.60763,-47.022808
pop,30.905256,46.697914
pop,24.509998,-112.56759
pop,11.768552,-68.543205
pop,111.25602,-51.63449
pop,-45.659744,52.41528
pop,-52.71407,-9.366002
pop,19.336174,36.80042
pop,-6.2819085,-71.55161
pop,-72.47645,80.478745
pop,-31.926394,-40.61003
pop,109.53942,7.6438723
pop,-42.098724,37.739616
pop,-16.552027,15.800683
pop,68.79618,31.18333
pop,9.948941,-63.41141
pop,11.655963,15.052231
pop,-27.789574,129.07913
pop,12.329762,-3.419575
pop,52.474514,51.008
pop,38.4281,-65.745735
pop,-19.766058,127.55413
pop,-39.94993,-104.04447
pop,28.781002,91.24349
pop,-64.58762,-50.86133
pop,-62.369083,-78.46067
pop,-66.0355,-15.520235
pop,-61.01913,21.542051
pop,-82.859604,-18.35109
pop,-103.65638,74.86708
pop,32.965946,62.66178
pop,8.009908,76.25914
pop,-96.1813,-2.508489
pop,-58.306767,78.52159
pop,-25.035906,-18.823132
pop,-101.78593,25.333603
pop,-71.15716,-36.416412
pop,-70.12712,52.794464
pop,-42.596428,-37.930386
pop,-86.06362,56.960155
pop,-84.4085,-5.9944477
pop,-25.451265,48.65552
pop,-94.90567,17.64351
pop,-63.83526,32.72608
pop,-85.40857,-39.59832
pop,-17.094439,-32.494194
pop,-13.844398,-87.408966
pop,-78.101326,-92.785095
pop,-19.21992,-27.459604
pop,-56.55403,93.192795
pop,-56.782818,-35.876686
pop,-70.46621,-59.03081
pop,-43.63395,-55.113686
pop,8.702504,-100.52195
pop,-103.552505,75.631966
pop,-13.870919,55.034863
pop,-85.54687,29.176485
pop,-80.82169,45.094864
pop,-57.012444,-103.26455
pop,-71.36416,17.903067
pop,-77.70141,-77.90276
pop,-95.20232,-17.591423
pop,-101.152695,15.058153
pop,-111.47359,-63.598473
pop,-108.96451,50.76629
pop,-113.4748,-59.005512
pop,-102.6017,69.126205
pop,-60.132374,-86.393166
pop,-79.05083,5.3364043
pop,-16.659855,37.25174
pop,-49.281937,17.804691
pop,-113.889015,7.8863215
pop,-113.940544,7.7548285
pop,-29.552008,31.409313
pop,-92.90234,-76.45685
pop,-35.985046,51.618248
pop,-33.64851,-58.247574
pop,-95.55702,62.877193
pop,-54.28112,-50.91868
pop,-58.721794,105.8081
pop,-44.88309,-41.0382
pop,-4.461422,-39.41695
pop,-111.313225,49.09529
pop,-105.4671,-7.3182774
pop,-50.432407,-2.821833
pop,-34.832382,53.761147
pop,-37.400604,11.775676
pop,-81.67675,-19.92591
pop,-40.478672,1.0716727
pop,-54.33165,-58.705055
pop,-12.283761,-50.161484
pop,-0.6150289,22.553806
